pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
100.5314,-113.45,-90.0,top,C1,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,104,smt
129.5466,-106.8649,90.0,top,C10,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,104,smt
102.925,-49.55,-90.0,top,C11,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,104,smt
99.2952,-62.0096,0.0,top,C12,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,104,smt
136.0968,-118.6759,-90.0,top,C13,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,104,smt
99.3112,-65.1846,180.0,top,C14,,,CL21A226MAQNNNE,10uF ±10% 16V,tht
134.7646,-83.1558,90.0,top,C15,,,CL21A226MAQNNNE,10uF ±10% 10V,tht
132.3506,-83.1598,-90.0,top,C16,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,104,smt
143.6946,-83.1858,90.0,top,C17,,,CL21A226MAQNNNE,10uF ±10% 10V,tht
141.4746,-83.1758,90.0,top,C18,,,CL21A226MAQNNNE,4.7uF,tht
112.5286,-80.2418,90.0,top,C2,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,104,smt
146.3401,-76.5628,0.0,top,C3,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,104,smt
103.173,-113.4539,-90.0,top,C4,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,104,smt
122.8158,-49.4395,-90.0,top,C5,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,104,smt
166.025,-107.025,180.0,top,C6,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,104,smt
105.5352,-56.1556,90.0,top,C7,,,CL21A226MAQNNNE,1uF ±10% 50V,tht
146.3401,-73.6672,0.0,top,C8,,,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,104,smt
146.3026,-70.6192,180.0,top,C9,,,CL21A226MAQNNNE,22uF ±20% 25V,tht
135.89,-128.4758,0.0,top,CARD1,,,TF-SMD_TF-PUSH,micro SD-CARD TF PUSH,tht
99.219,-75.9746,-90.0,top,D1,,,RB168MM-40TR___SOD-123FL_L2.6-W1.6-LS3.5-RD,RB168MM-40TR,tht
97.9998,-113.9204,90.0,top,D2,,,RB168MM-40TR___SOD-123FL_L2.6-W1.6-LS3.5-RD,RB168MM-40TR,tht
117.65,-75.675,-90.0,top,D3,,,RB168MM-40TR___SOD-123FL_L2.6-W1.6-LS3.5-RD,RB168MM-40TR,tht
161.39,-54.875,0.0,top,H5,,,PinHeader_1x02_P2.54mm_Vertical,Header-Female-2.54_1x2,tht
150.775,-107.17,0.0,top,H6,,,PinHeader_1x03_P2.54mm_Vertical,Header-Female-2.54_1x6,tht
150.825,-117.985,0.0,top,H7,,,PinHeader_1x03_P2.54mm_Vertical,Header-Female-2.54_1x3,tht
161.375,-50.09,180.0,top,H8,,,PinHeader_1x02_P2.54mm_Vertical,Header-Female-2.54_1x2,tht
164.0,-115.9,90.0,top,J1,,,CONN_SM04B-SRSS-TB_JST,SM04B-SRSS-TB,smt
164.001501,-125.499999,90.0,top,J2,,,CONN_SM04B-SRSS-TB_JST,SM04B-SRSS-TB,smt
177.826501,-98.149999,90.0,top,J3,,,CONN_SM04B-SRSS-TB_JST,SM04B-SRSS-TB,smt
177.801501,-107.449999,90.0,top,J4,,,CONN_SM04B-SRSS-TB_JST,SM04B-SRSS-TB,smt
106.725,-69.15,0.0,top,LED1,,,LED-ARRAY-SMD_4P-L1.6-W1.5-BL-FD,TJ-S1615CY6TGLCCSRGB-A5,tht
138.5382,-77.672285,180.0,top,L_B-B1,,,SWPA_2_2_IND-SMD_L4.0-W4.0_SWPA4018S,2.2uH ±20% 3.2A,tht
173.1,-55.595,0.0,top,PowerConn1,,,PinSocket_1x03_P2.54mm_Vertical,Header-Female-2.54_1x2,tht
114.3988,-75.5834,0.0,top,Q1,,,DMP1045_SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,PMOSFET-DMP1045U-7,tht
123.7562,-103.8034,90.0,top,Q10,,,BSS84_SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,P-MOSFET-ENH-BSS84LT1G,tht
124.9238,-96.5646,90.0,top,Q11,,,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR_2N7002,N-MOSFET-ENH-2N7002,tht
111.7358,-89.68335,-90.0,top,Q2,,,2N3904S_SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR,2N3904S-RTK/PS,tht
112.0792,-95.64355,0.0,top,Q3,,,2N3904S_SOT-23-3_L2.9-W1.3-P1.90-LS2.4-TR,2N3904S-RTK/PS,tht
112.135,-59.975,180.0,top,Q4,,,BSS84_SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,P-MOSFET-ENH-BSS84LT1G,tht
106.4326,-60.1504,90.0,top,Q5,,,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR_2N7002,N-MOSFET-ENH-2N7002,tht
139.8023,-96.3612,90.0,top,Q6,,,BSS84_SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,P-MOSFET-ENH-BSS84LT1G,tht
146.1422,-95.1008,0.0,top,Q7,,,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR_2N7002,N-MOSFET-ENH-2N7002,tht
167.6,-102.165,90.0,top,Q8,,,BSS84_SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,P-MOSFET-ENH-BSS84LT1G,tht
162.325,-102.15,90.0,top,Q9,,,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR_2N7002,N-MOSFET-ENH-2N7002,tht
102.65,-118.925,180.0,top,R1,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt
138.2304,-119.344,90.0,top,R10,,,R0603,7.5kΩ,tht
133.76,-119.2424,90.0,top,R11,,,R0603,7.5kΩ,tht
131.5248,-120.1452,90.0,top,R12,,,R0603,7.5kΩ,tht
128.807,-119.7642,90.0,top,R13,,,R0603,7.5kΩ,tht
112.075,-65.633,90.0,top,R14,,,R0402,150Ω ±1% 62.5mW,tht
114.05,-65.608,90.0,top,R15,,,R0402,36Ω ±1% 62.5mW,tht
116.05,-65.592,90.0,top,R16,,,R0402,36Ω ±1% 62.5mW,tht
140.7704,-117.3628,90.0,top,R17,,,R0603,7.5kΩ,tht
142.8532,-117.2104,90.0,top,R18,,,R0603,7.5kΩ,tht
114.5606,-54.8598,-90.0,top,R19,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt
105.8146,-113.4191,90.0,top,R2,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,22K1,smt
119.6906,-49.3398,90.0,top,R20,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt
112.0506,-50.7498,-90.0,top,R21,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,100,smt
103.9302,-65.4106,-90.0,top,R22,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt
145.8946,-83.1758,90.0,top,R23,,,R0603,220Ω,tht
139.0039,-99.9776,0.0,top,R24,,,R0603,4.7kΩ ±1% 100mW,tht
150.4297,-96.066,0.0,top,R25,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,100,smt
139.7617,-92.5608,180.0,top,R26,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt
166.1465,-109.95,180.0,top,R27,,,R0603,4.7kΩ ±1% 100mW,tht
166.9,-96.625,90.0,top,R28,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,100,smt
162.975,-97.075,180.0,top,R29,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt
108.4562,-113.4379,-90.0,top,R3,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,47K5,smt
126.9304,-106.5731,90.0,top,R30,,,R0603,4.7kΩ ±1% 100mW,tht
129.1656,-95.5834,0.0,top,R31,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,100,smt
123.8824,-99.9268,180.0,top,R32,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt
113.7902,-113.4379,90.0,top,R4,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1K,smt
111.0978,-113.4379,-90.0,top,R5,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1K,smt
116.4318,-113.4379,90.0,top,R6,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt
115.5639,-95.72915,90.0,top,R7,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt
118.0531,-95.74515,90.0,top,R8,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt
114.7132,-44.4318,90.0,top,R9,,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt
120.15,-121.65,90.0,top,S1,MFP126DRA-UL,,MFP126DRAUL,MFP126DRA-UL,tht
99.375,-57.5,-90.0,top,SW1,,,SW_Push_1P1T-SH_NO_CK_KMR2xxG,~,smt
116.2,-50.65,180.0,top,TP3,,,TestPoint_Pad_D1.0mm,TestPoint,tht
125.625,-112.725,-90.0,top,TP5,,,TestPoint_Pad_D1.0mm,TestPoint,tht
101.73,-101.99,-90.0,top,U1,,None,GCT_USB4110GFA,USB4110GFA,smt
101.7346,-90.2258,90.0,top,U2,,,CONN-TH_S2B-PH-K-S-GW,~,tht
106.4072,-101.59435,90.0,top,U3,,,SOT-23-6,USBLC6-2SC6,smt
177.1462,-68.5618,-90.0,top,U4,,,PinHeader_1x07_P2.54mm_Vertical,DFR0819,tht
114.0272,-102.00385,0.0,top,U5,,,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,CP2102N-Axx-xQFN28,smt
134.92,-41.14,0.0,top,U6,,,ESP32-WROVER,~,smt
138.5246,-84.0558,-90.0,top,U7,,,TPS74901DRCR_tps6300,TPS63001DRCR,smt
171.675,-48.1,90.0,top,Watermeter_WM1,,,JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,Header-Female-2.54_1x2,smt
99.4,-50.25,90.0,top,boot1,,,SW_Push_1P1T-SH_NO_CK_KMR2xxG,~,smt
